xvals,data
1,1.0
2,1.5
3,1.811278124459133
4,2.0306390622295662
5,2.198192411043098
6,2.3333620347709894
7,2.4466397511588904
8,2.544197507453808
9,2.6299275041433234
10,2.706428963227331
11,2.775521401137926
12,2.838528743648605
13,2.896445400926273
14,2.9500381230977726
15,2.9999111668691416
16,3.046549559435364
17,3.0903487605544657
18,3.1316355749416642
19,3.1706832575911137
20,3.2077226571333863
21,3.2429505894842006
22,3.276536233233581
23,3.3086260849676736
24,3.3393478484531016
25,3.368813522526616
26,3.3971218785277593
27,3.4243604669332406
28,3.450607256838823
29,3.475931986192501
30,3.5003972820174916
31,3.5240595961525356
32,3.5469699918438735
33,3.5691748088621233
34,3.590716229000133
35,3.611632759349343
36,3.6319596473047504
37,3.6517292385611113
38,3.6709712872519487
39,3.689713225712557
40,3.707980400017702
41,3.7257962763780976
42,3.7431826226194733
43,3.76015966827037
44,3.7767462462158092
45,3.7929599184075764
46,3.8088170877377845
47,3.824333097864482
48,3.8395223225138997
49,3.8543982455634374
