xvals,data
1.0,1.047095585180641
1.049049049049049,1.081636652053157
1.098098098098098,1.1145990564860284
1.147147147147147,1.1461208156628844
1.1961961961961962,1.1763226027184874
1.2452452452452452,1.2053105363497332
1.2942942942942943,1.2331784311895588
1.3433433433433433,1.2600096293845238
1.3923923923923924,1.2858785035555516
1.4414414414414414,1.3108516994492692
1.4904904904904905,1.3349891705754817
1.5395395395395395,1.3583450452653452
1.5885885885885886,1.3809683577020229
1.6376376376376376,1.4029036677553062
1.6866866866866865,1.4241915893190422
1.7357357357357357,1.4448692428953493
1.7847847847847849,1.4649706450969293
1.8338338338338338,1.4845270453329038
1.8828828828828827,1.5035672180460293
1.931931931931932,1.5221177173621532
1.980980980980981,1.540203099808188
2.03003003003003,1.5578461197861022
2.079079079079079,1.5750679017067557
2.128128128128128,1.5918880920499843
2.1771771771771773,1.6083249940961584
2.2262262262262262,1.6243956876461856
2.275275275275275,1.6401161356933558
2.3243243243243246,1.655501279717215
2.373373373373373,1.6705651250254359
2.4224224224224224,1.6853208173654104
2.4714714714714714,1.6997807118558228
2.5205205205205203,1.7139564351439402
2.5695695695695697,1.727858941572141
2.618618618618618,1.741498564033473
2.6676676676676676,1.7548850601077008
2.7167167167167166,1.7680276539938589
2.7657657657657655,1.7809350746906776
2.814814814814815,1.7936155908206994
2.863863863863864,1.8060770424460235
2.9129129129129128,1.818326870182255
2.961961961961962,1.8303721418813927
3.011011011011011,1.8422195771232506
3.06006006006006,1.8538755697279168
3.109109109109109,1.8653462084780825
3.158158158158158,1.8766372962193874
3.2072072072072073,1.8877543674887869
3.2562562562562563,1.8987027048049978
3.305305305305305,1.909487353741061
3.354354354354354,1.9201131368866673
3.403403403403403,1.9305846667969637
3.4524524524524525,1.9409063580148587
3.5015015015015014,1.951082438245258
3.5505505505505504,1.961116958752026
3.5995995995995993,1.9710138040416556
3.6486486486486487,1.9807767008915815
3.6976976976976976,1.990409226775651
3.7467467467467466,1.9999148177344126
3.7957957957957955,2.0092967757335614
3.844844844844845,2.0185582755499643
3.893893893893894,2.027702371221209
3.942942942942943,2.0367320020914534
3.9919919919919917,2.0456499984835297
4.041041041041041,2.054459087024687
4.09009009009009,2.063161895651046
4.1391391391391394,2.0717609583137504
4.188188188188188,2.0802587194079027
4.237237237237236,2.088657537943642
4.286286286286286,2.0969596914771866
4.335335335335335,2.1051673798182162
4.384384384384385,2.1132827285287
4.433433433433433,2.12130779222709
4.4824824824824825,2.129244557710731
4.531531531531531,2.1370949469083516
4.58058058058058,2.1448608196736267
4.62962962962963,2.1525439764299503
4.678678678678679,2.1601461606758448
4.727727727727728,2.1676690613597143
4.776776776776776,2.175114315132046
4.8258258258258255,2.182483508482557
4.874874874874875,2.189778179769284
4.923923923923924,2.196999821146096
4.972972972972973,2.2041498803946724
5.022022022022022,2.2112297626665804
5.071071071071071,2.2182408321406824
5.12012012012012,2.2251844136007772
5.169169169169169,2.232061793938027
5.218218218218218,2.238874223582438
5.267267267267267,2.2456229178673763
5.316316316316316,2.2523090583308445
5.365365365365365,2.258933793956999
5.414414414414415,2.265498242361181
5.463463463463463,2.2720034909215023
5.5125125125125125,2.2784505978598713
5.561561561561561,2.284840593275128
5.61061061061061,2.2911744801308265
5.65965965965966,2.29745323520002
5.708708708708708,2.303677809969286
5.757757757757758,2.3098491315040808
5.806806806806806,2.315968103277384
5.8558558558558556,2.3220356059634963
5.904904904904905,2.328052498198732
5.953953953953953,2.3340196173106413
6.003003003003003,2.3399377800173236
6.052052052052052,2.3458077830982855
6.101101101101101,2.351630404038219
6.15015015015015,2.35740640164501
6.199199199199199,2.3631365166431952
6.248248248248248,2.368821472244037
6.297297297297297,2.374461974693306
6.346346346346346,2.380058713797817
6.395395395395395,2.3856123634316884
6.444444444444445,2.3911235820232712
6.493493493493493,2.396593013023608
6.5425425425425425,2.4020212853572738
6.591591591591591,2.40740901385637
6.64064064064064,2.412756799678443
6.68968968968969,2.4180652307090127
6.738738738738738,2.4233348819494065
6.787787787787788,2.428566315890526
6.836836836836836,2.433760082873158
6.885885885885886,2.438916721435407
6.934934934934935,2.4440367586477945
6.9839839839839835,2.4491207104365555
7.033033033033033,2.4541690818956177
7.082082082082082,2.4591823675877356
7.131131131131131,2.4641610518352413
7.18018018018018,2.469105609000824
7.229229229229229,2.474016503758752
7.278278278278278,2.4788941913569262
7.327327327327327,2.4837391178701345
7.376376376376376,2.488551720444852
7.425425425425425,2.4933324275359365
7.474474474474474,2.498081659135528
7.523523523523523,2.5027998269944596
7.5725725725725725,2.5074873348364815
7.621621621621621,2.5121445785655627
7.67067067067067,2.5167719464665472
7.71971971971972,2.5213698193994127
7.768768768768768,2.5259385709873805
7.817817817817818,2.530478567799103
7.866866866866866,2.5349901695251535
7.915915915915916,2.539473729149036
7.964964964964965,2.5439295931129036
8.014014014014013,2.548358101478201
8.063063063063062,2.5527595880813974
8.112112112112111,2.557134380685001
8.16116116116116,2.5614828011240207
8.21021021021021,2.56580516544804
8.25925925925926,2.570101784059059
8.308308308308309,2.5743729618452567
8.357357357357358,2.5786189983108136
8.406406406406406,2.5828401877019402
8.455455455455455,2.587036819129236
8.504504504504503,2.5912091766865086
8.553553553553552,2.5953575395661828
8.602602602602602,2.599482182171401
8.651651651651651,2.6035833742249452
8.7007007007007,2.607661380875073
8.74974974974975,2.6117164627983858
8.7987987987988,2.6157488762998153
8.847847847847849,2.6197588734098334
8.896896896896896,2.6237467019789777
8.945945945945946,2.627712605769775
8.994994994994995,2.631656824546151
9.044044044044044,2.6355795941604128
9.093093093093092,2.6394811466378756
9.142142142142141,2.643361710259215
9.19119119119119,2.6472215096406146
9.24024024024024,2.651060765811782
9.28928928928929,2.654879696291899
9.338338338338337,2.658678515163571
9.387387387387387,2.662457433144842
9.436436436436436,2.6662166576593305
9.485485485485485,2.6699563929045476
9.534534534534535,2.673676839918455
9.583583583583584,2.677378196644315
9.632632632632632,2.681060657993882
9.681681681681681,2.6847244159089936
9.73073073073073,2.6883696594216038
9.77977977977978,2.691996574712306
9.82882882882883,2.6956053451673916
9.877877877877877,2.6991961514344935
9.926926926926926,2.702769171476843
9.975975975975976,2.706324580626198
10.025025025025025,2.7098625516344668
10.074074074074074,2.7133832547240764
10.123123123123122,2.716886857637115
10.172172172172171,2.720373525683288
10.22122122122122,2.723843421786721
10.27027027027027,2.7272967065316402
10.31931931931932,2.7307335382069673
10.368368368368367,2.734154072849856
10.417417417417417,2.737558464288201
10.466466466466466,2.7409468641821486
10.515515515515515,2.744319422064636
10.564564564564565,2.7476762853809906
10.613613613613612,2.751017599527607
10.662662662662662,2.7543435078897387
10.711711711711711,2.757654151878416
10.76076076076076,2.760949670966524
10.80980980980981,2.7642302027240633
10.85885885885886,2.7674958828526037
10.907907907907907,2.770746845218972
10.956956956956956,2.7739832218881757
