Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7
11,900	3,228	0,931	11,900	3,122	5,159
11,920	3,234	0,942	11,920	3,127	5,214
11,940	3,239	0,953	11,940	3,133	5,268
11,960	3,245	0,964	11,960	3,139	5,323
11,980	3,251	0,975	11,980	3,144	5,376
12,000	3,257	0,985	12,000	3,150	5,432
12,020	3,263	0,997	12,020	3,156	5,487
12,040	3,269	1,008	12,040	3,162	5,541
12,060	3,274	0,994	12,060	3,168	5,595
12,080	3,280	1,014	12,080	3,174	5,650
12,100	3,286	1,039	12,100	3,180	5,705
12,120	3,292	1,051	12,120	3,186	5,760
12,140	3,297	1,063	12,140	3,191	5,814
12,160	3,303	1,074	12,160	3,197	5,869
12,180	3,309	1,085	12,180	3,203	5,923
12,200	3,315	1,097	12,200	3,208	5,977
12,220	3,321	1,109	12,220	3,214	6,032
12,240	3,327	1,120	12,240	3,220	6,087
12,260	3,333	1,132	12,260	3,226	6,142
12,280	3,338	1,143	12,280	3,232	6,196
12,300	3,344	1,154	12,300	3,237	6,250
12,320	3,350	1,167	12,320	3,244	6,306
12,340	3,356	1,178	12,340	3,250	6,359
12,360	3,362	1,190	12,360	3,255	6,413
12,380	3,368	1,202	12,380	3,261	6,468
12,400	3,373	1,214	12,400	3,267	6,522
12,420	3,379	1,225	12,420	3,273	6,575
12,440	3,385	1,226	12,440	3,278	6,629
12,460	3,391	1,248	12,460	3,284	6,683
12,480	3,397	1,261	12,480	3,290	6,737
12,500	3,402	1,273	12,500	3,296	6,790
12,520	3,408	1,284	12,520	3,301	6,843
12,540	3,414	1,296	12,540	3,307	6,897
12,560	3,420	1,309	12,560	3,313	6,951
12,580	3,426	1,321	12,580	3,319	7,003
12,600	3,431	1,332	12,600	3,325	7,056
12,620	3,437	1,345	12,620	3,330	7,108
12,640	3,442	1,357	12,640	3,337	7,161
12,660	3,449	1,369	12,660	3,343	7,214
12,680	3,454	1,381	12,680	3,348	7,267
12,700	3,460	1,392	12,700	3,354	7,318
12,720	3,466	1,404	12,720	3,359	7,370
12,740	3,471	1,416	12,740	3,366	7,423
12,760	3,478	1,427	12,760	3,371	7,474
12,780	3,483	1,438	12,780	3,377	7,526
12,800	3,489	1,487	12,800	3,383	7,578
12,820	3,495	1,475	12,820	3,389	7,629
12,840	3,500	1,472	12,840	3,395	7,679
12,860	3,506	1,481	12,860	3,401	7,730
12,880	3,512	1,491	12,880	3,406	7,780
12,900	3,518	1,500	12,900	3,412	7,831
12,920	3,524	1,509	12,920	3,418	7,882
12,940	3,530	1,518	12,940	3,424	7,931
12,960	3,536	1,525	12,960	3,430	7,981
12,980	3,542	1,533	12,980	3,435	8,030
13,000	3,547	1,540	13,000	3,441	8,079
13,020	3,553	1,546	13,020	3,447	8,127
13,040	3,558	1,551	13,040	3,453	8,175
13,060	3,565	1,556	13,060	3,458	8,221
13,080	3,570	1,560	13,080	3,464	8,267
13,100	3,576	1,565	13,100	3,470	8,313
13,120	3,582	1,568	13,120	3,475	8,357
13,140	3,588	1,572	13,140	3,481	8,399
13,160	3,593	1,562	13,160	3,487	8,443
13,180	3,600	1,527	13,180	3,493	8,483
13,200	3,605	1,575	13,200	3,498	8,521
13,220	3,611	1,581	13,220	3,504	8,559
13,240	3,617	1,585	13,240	3,510	8,594
13,260	3,623	1,587	13,260	3,516	8,625
13,280	3,628	1,590	13,280	3,522	8,655
13,300	3,634	1,593	13,300	3,527	8,681
13,320	3,640	1,597	13,320	3,533	8,704
13,340	3,646	1,599	13,340	3,539	8,726
13,360	3,652	1,602	13,360	3,545	8,743
13,380	3,657	1,604	13,380	3,551	8,758
13,400	3,664	1,607	13,400	3,556	8,768
13,420	3,670	1,609	13,420	3,563	8,776
13,440	3,675	1,610	13,440	3,569	8,780
13,460	3,681	1,612	13,460	3,574	8,781
13,480	3,687	1,613	13,480	3,580	8,778
13,500	3,693	1,613	13,500	3,586	8,771
13,520	3,698	1,614	13,520	3,591	8,763
13,540	3,704	1,604	13,540	3,598	8,753
13,560	3,710	1,611	13,560	3,603	8,741
13,580	3,716	1,613	13,580	3,609	8,730
13,600	3,721	1,611	13,600	3,615	8,718
13,620	3,727	1,611	13,620	3,620	8,707
13,640	3,733	1,609	13,640	3,626	8,695
13,660	3,738	1,606	13,660	3,632	8,685
13,680	3,744	1,604	13,680	3,638	8,674
13,700	3,750	1,602	13,700	3,644	8,664
13,720	3,756	1,599	13,720	3,650	8,653
13,740	3,762	1,596	13,740	3,655	8,642
13,760	3,767	1,592	13,760	3,661	8,629
13,780	3,773	1,589	13,780	3,667	8,615
13,800	3,779	1,585	13,800	3,673	8,599
13,820	3,785	1,581	13,820	3,679	8,583
13,840	3,790	1,577	13,840	3,684	8,564
13,860	3,796	1,572	13,860	3,690	8,544
13,880	3,802	1,569	13,880	3,696	8,522
13,900	3,808	1,581	13,900	3,702	8,499
13,920	3,814	1,592	13,920	3,708	8,474
13,940	3,819	1,559	13,940	3,713	8,447
13,960	3,825	1,552	13,960	3,719	8,419
13,980	3,831	1,547	13,980	3,725	8,388
14,000	3,837	1,543	14,000	3,731	8,357
14,020	3,843	1,538	14,020	3,737	8,324
14,040	3,848	1,533	14,040	3,742	8,288
14,060	3,854	1,528	14,060	3,748	8,252
14,080	3,860	1,522	14,080	3,753	8,213
14,100	3,866	1,517	14,100	3,759	8,173
14,120	3,872	1,512	14,120	3,765	8,132
14,140	3,878	1,507	14,140	3,771	8,089
14,160	3,883	1,500	14,160	3,776	8,046
14,180	3,889	1,494	14,180	3,782	8,001
14,200	3,895	1,489	14,200	3,788	7,956
14,220	3,901	1,483	14,220	3,794	7,910
14,240	3,906	1,476	14,240	3,800	7,864
14,260	3,913	1,470	14,260	3,805	7,818
14,280	3,918	1,430	14,280	3,811	7,772
14,300	3,924	1,451	14,300	3,817	7,725
14,320	3,930	1,449	14,320	3,823	7,680
14,340	3,935	1,441	14,340	3,829	7,634
14,360	3,941	1,435	14,360	3,834	7,588
14,380	3,947	1,428	14,380	3,840	7,542
14,400	3,953	1,421	14,400	3,846	7,495
14,420	3,959	1,413	14,420	3,852	7,448
14,440	3,964	1,404	14,440	3,858	7,401
14,460	3,971	1,397	14,460	3,864	7,354
14,480	3,976	1,389	14,480	3,869	7,306
14,500	3,982	1,381	14,500	3,875	7,257
14,520	3,988	1,372	14,520	3,881	7,209
14,540	3,994	1,364	14,540	3,887	7,159
14,560	3,999	1,355	14,560	3,892	7,110
14,580	4,005	1,346	14,580	3,898	7,060
14,600	4,010	1,336	14,600	3,904	7,009
14,620	4,017	1,327	14,620	3,910	6,957
14,640	4,023	1,325	14,640	3,915	6,905
14,660	4,028	1,314	14,660	3,921	6,852
14,680	4,034	1,298	14,680	3,927	6,800
14,700	4,040	1,287	14,700	3,933	6,747
14,720	4,046	1,277	14,720	3,938	6,693
14,740	4,052	1,265	14,740	3,944	6,640
14,760	4,057	1,254	14,760	3,950	6,585
14,780	4,063	1,243	14,780	3,956	6,531
14,800	4,069	1,231	14,800	3,962	6,474
14,820	4,074	1,219	14,820	3,968	6,419
14,840	4,080	1,207	14,840	3,973	6,364
14,860	4,086	1,195	14,860	3,979	6,307
14,880	4,092	1,182	14,880	3,985	6,251
14,900	4,097	1,169	14,900	3,991	6,194
14,920	4,103	1,156	14,920	3,997	6,136
14,940	4,109	1,143	14,940	4,002	6,077
14,960	4,115	1,130	14,960	4,008	6,019
14,980	4,120	1,116	14,980	4,014	5,959
15,000	4,126	1,103	15,000	4,020	5,898
15,020	4,132	1,187	15,020	4,026	5,838
15,040	4,138	1,091	15,040	4,031	5,775
15,060	4,143	1,064	15,060	4,037	5,712
15,080	4,149	1,049	15,080	4,043	5,649
15,100	4,155	1,035	15,100	4,049	5,584
15,120	4,161	1,020	15,120	4,054	5,519
15,140	4,166	1,005	15,140	4,060	5,453
15,160	4,173	0,991	15,160	4,065	5,386
15,180	4,178	0,976	15,180	4,071	5,318
15,200	4,184	0,962	15,200	4,076	5,250
15,220	4,190	0,947	15,220	4,082	5,181
15,240	4,196	0,931	15,240	4,088	5,111
15,260	4,201	0,917	15,260	4,094	5,040
15,280	4,207	0,902	15,280	4,100	4,969
15,300	4,213	0,887	15,300	4,106	4,898
15,320	4,219	0,872	15,320	4,112	4,826
15,340	4,225	0,858	15,340	4,118	4,754
15,360	4,231	0,843	15,360	4,123	4,680
15,380	4,236	0,771	15,380	4,129	4,608
15,400	4,242	0,790	15,400	4,135	4,535
15,420	4,248	0,801	15,420	4,141	4,461
15,440	4,254	0,794	15,440	4,146	4,388
15,460	4,259	0,786	15,460	4,152	4,314
15,480	4,265	0,780	15,480	4,158	4,240
15,500	4,271	0,778	15,500	4,164	4,166
15,520	4,277	0,778	15,520	4,169	4,092
15,540	4,283	0,781	15,540	4,175	4,018
15,560	4,288	0,787	15,560	4,181	3,944
15,580	4,294	0,795	15,580	4,187	3,870
15,600	4,300	0,806	15,600	4,193	3,797
15,620	4,307	0,819	15,620	4,198	3,725
15,640	4,312	0,830	15,640	4,204	3,654
15,660	4,317	0,842	15,660	4,210	3,584
15,680	4,323	0,854	15,680	4,215	3,517
15,700	4,329	0,865	15,700	4,222	3,456
15,720	4,335	0,873	15,720	4,227	3,399
15,740	4,341	0,880	15,740	4,233	3,350
15,760	4,346	0,885	15,760	4,239	3,311
15,780	4,352	0,889	15,780	4,245	3,282
15,800	4,358	0,891	15,800	4,250	3,268
15,820	4,364	0,891	15,820	4,256	3,268
15,840	4,370	0,890	15,840	4,262	3,282
15,860	4,375	0,889	15,860	4,268	3,310
15,880	4,380	0,886	15,880	4,273	3,348
15,900	4,386	0,884	15,900	4,279	3,395
15,920	4,392	0,880	15,920	4,285	3,447
15,940	4,397	0,876	15,940	4,291	3,499
15,960	4,403	0,871	15,960	4,297	3,550
15,980	4,409	0,866	15,980	4,303	3,596
16,000	4,415	0,862	16,000	4,308	3,634
16,020	4,420	0,857	16,020	4,314	3,666
16,040	4,426	0,853	16,040	4,320	3,688
16,060	4,432	0,849	16,060	4,326	3,703
16,080	4,438	0,846	16,080	4,331	3,711
16,100	4,443	0,844	16,100	4,337	3,712
16,120	4,450	0,855	16,120	4,343	3,708
16,140	4,455	0,848	16,140	4,349	3,699
16,160	4,461	0,849	16,160	4,355	3,686
16,180	4,467	0,855	16,180	4,360	3,669
16,200	4,472	0,863	16,200	4,366	3,649
16,220	4,478	0,874	16,220	4,372	3,627
16,240	4,484	0,887	16,240	4,377	3,603
16,260	4,490	0,902	16,260	4,382	3,578
16,280	4,496	0,918	16,280	4,388	3,552
16,300	4,502	0,935	16,300	4,394	3,526
16,320	4,507	0,952	16,320	4,400	3,499
16,340	4,513	0,969	16,340	4,406	3,475
16,360	4,519	0,986	16,360	4,411	3,453
16,380	4,525	1,002	16,380	4,417	3,436
16,400	4,531	1,018	16,400	4,423	3,424
16,420	4,536	1,031	16,420	4,428	3,419
16,440	4,542	1,044	16,440	4,434	3,422
16,460	4,548	1,056	16,460	4,440	3,436
16,480	4,554	1,067	16,480	4,446	3,460
16,500	4,560	1,078	16,500	4,452	3,493
16,520	4,565	1,087	16,520	4,457	3,536
16,540	4,571	1,096	16,540	4,463	3,589
16,560	4,577	1,106	16,560	4,469	3,648
16,580	4,582	1,115	16,580	4,475	3,711
16,600	4,588	1,125	16,600	4,481	3,777
16,620	4,594	1,134	16,620	4,487	3,845
16,640	4,600	1,145	16,640	4,492	3,911
16,660	4,606	1,156	16,660	4,498	3,974
16,680	4,611	1,167	16,680	4,504	4,035
16,700	4,617	1,179	16,700	4,510	4,090
16,720	4,623	1,191	16,720	4,515	4,140
16,740	4,629	1,204	16,740	4,521	4,185
16,760	4,634	1,218	16,760	4,527	4,226
16,780	4,640	1,232	16,780	4,533	4,263
16,800	4,646	1,247	16,800	4,538	4,297
16,820	4,652	1,263	16,820	4,544	4,330
16,840	4,658	1,279	16,840	4,550	4,361
16,860	4,663	1,283	16,860	4,555	4,391
16,880	4,669	1,310	16,880	4,561	4,424
16,900	4,675	1,330	16,900	4,567	4,456
16,920	4,680	1,348	16,920	4,573	4,489
16,940	4,686	1,366	16,940	4,579	4,525
16,960	4,692	1,385	16,960	4,585	4,561
16,980	4,697	1,404	16,980	4,590	4,600
17,000	4,703	1,422	17,000	4,596	4,642
17,020	4,709	1,442	17,020	4,602	4,684
17,040	4,715	1,461	17,040	4,607	4,730
17,060	4,720	1,480	17,060	4,613	4,777
17,080	4,726	1,500	17,080	4,619	4,828
17,100	4,732	1,520	17,100	4,625	4,882
17,120	4,738	1,539	17,120	4,631	4,937
17,140	4,743	1,558	17,140	4,637	4,995
17,160	4,749	1,578	17,160	4,643	5,054
17,180	4,755	1,597	17,180	4,648	5,114
17,200	4,761	1,616	17,200	4,654	5,177
17,220	4,767	1,654	17,220	4,660	5,239
17,240	4,773	1,668	17,240	4,665	5,304
17,260	4,778	1,677	17,260	4,671	5,369
17,280	4,784	1,698	17,280	4,676	5,436
17,300	4,790	1,718	17,300	4,683	5,504
17,320	4,795	1,740	17,320	4,688	5,571
17,340	4,801	1,761	17,340	4,693	5,638
17,360	4,807	1,784	17,360	4,699	5,706
17,380	4,813	1,807	17,380	4,705	5,772
17,400	4,819	1,829	17,400	4,711	5,838
17,420	4,825	1,853	17,420	4,716	5,904
17,440	4,830	1,877	17,440	4,722	5,970
17,460	4,836	1,901	17,460	4,728	6,035
17,480	4,842	1,926	17,480	4,734	6,101
17,500	4,847	1,951	17,500	4,739	6,167
17,520	4,853	1,976	17,520	4,745	6,234
17,540	4,859	2,000	17,540	4,751	6,302
17,560	4,865	2,027	17,560	4,757	6,371
17,580	4,870	2,051	17,580	4,763	6,440
17,600	4,877	2,028	17,600	4,768	6,511
17,620	4,882	2,098	17,620	4,774	6,584
17,640	4,888	2,129	17,640	4,780	6,657
17,660	4,894	2,156	17,660	4,786	6,732
17,680	4,899	2,183	17,680	4,791	6,810
17,700	4,905	2,210	17,700	4,797	6,888
17,720	4,911	2,237	17,720	4,803	6,967
17,740	4,917	2,264	17,740	4,808	7,046
17,760	4,922	2,292	17,760	4,814	7,127
17,780	4,928	2,320	17,780	4,820	7,210
17,800	4,934	2,349	17,800	4,826	7,291
17,820	4,939	2,377	17,820	4,832	7,375
17,840	4,945	2,406	17,840	4,837	7,459
17,860	4,951	2,435	17,860	4,843	7,543
17,880	4,957	2,463	17,880	4,849	7,629
17,900	4,963	2,494	17,900	4,854	7,714
17,920	4,968	2,522	17,920	4,860	7,799
17,940	4,974	2,552	17,940	4,866	7,886
17,960	4,980	2,583	17,960	4,872	7,973
17,980	4,986	2,613	17,980	4,878	8,060
18,000	4,992	2,643	18,000	4,884	8,149
18,020	4,997	2,674	18,020	4,889	8,238
18,040	5,003	2,704	18,040	4,895	8,329
18,060	5,009	2,736	18,060	4,901	8,418
18,080	5,014	2,767	18,080	4,907	8,510
18,100	5,020	2,798	18,100	4,912	8,600
18,120	5,026	2,831	18,120	4,918	8,693
18,140	5,032	2,862	18,140	4,924	8,786
18,160	5,038	2,895	18,160	4,930	8,879
18,180	5,044	2,927	18,180	4,935	8,971
18,200	5,049	2,959	18,200	4,941	9,065
18,220	5,054	2,992	18,220	4,947	9,160
18,240	5,061	3,025	18,240	4,952	9,254
18,260	5,066	3,058	18,260	4,958	9,348
18,280	5,072	3,091	18,280	4,964	9,445
18,300	5,078	3,125	18,300	4,970	9,544
18,320	5,084	3,161	18,320	4,975	9,639
18,340	5,089	3,215	18,340	4,981	9,733
18,360	5,095	3,228	18,360	4,987	9,813
18,380	5,101	3,261	18,380	4,993	9,879
18,400	5,107	3,295	18,400	4,999	9,931
18,420	5,112	3,329	18,420	5,004	9,966
18,440	5,118	3,363	18,440	5,010	9,990
18,460	5,124	3,399	18,460	5,016	9,991
18,480	5,130	3,433	18,480	5,022	9,991
18,500	5,136	3,469	18,500	5,027	9,991
18,520	5,141	3,503	18,520	5,033	9,991
18,540	5,147	3,539	18,540	5,039	9,991
18,560	5,153	3,574	18,560	5,045	9,990
18,580	5,159	3,609	18,580	5,050	9,990
18,600	5,164	3,644	18,600	5,056	9,990
18,620	5,170	3,680	18,620	5,062	9,990
18,640	5,176	3,716	18,640	5,068	9,990
18,660	5,181	3,751	18,660	5,073	9,990
18,680	5,188	3,788	18,680	5,079	9,990
18,700	5,193	3,870	18,700	5,085	9,990
18,720	5,199	3,867	18,720	5,091	9,990
18,740	5,205	3,894	18,740	5,097	9,990
18,760	5,211	3,929	18,760	5,102	9,990
18,780	5,216	3,962	18,780	5,108	9,990
18,800	5,221	3,996	18,800	5,114	9,990
18,820	5,227	4,030	18,820	5,120	9,990
18,840	5,234	4,064	18,840	5,125	9,990
18,860	5,239	4,097	18,860	5,131	9,990
18,880	5,245	4,130	18,880	5,137	9,990
18,900	5,250	4,161	18,900	5,142	9,990
18,920	5,256	4,194	18,920	5,148	9,990
18,940	5,262	4,225	18,940	5,154	9,990
18,960	5,268	4,256	18,960	5,159	9,990
18,980	5,274	4,286	18,980	5,165	9,990
19,000	5,279	4,315	19,000	5,171	9,990
19,020	5,285	4,345	19,020	5,177	9,990
19,040	5,291	4,373	19,040	5,183	9,990
19,060	5,297	4,354	19,060	5,188	9,990
19,080	5,302	4,384	19,080	5,194	9,990
19,100	5,307	4,453	19,100	5,200	9,990
19,120	5,313	4,483	19,120	5,206	9,990
19,140	5,319	4,510	19,140	5,212	9,990
19,160	5,325	4,536	19,160	5,217	9,990
19,180	5,331	4,562	19,180	5,223	9,990
19,200	5,336	4,588	19,200	5,229	9,990
19,220	5,342	4,615	19,220	5,235	9,990
19,240	5,348	4,640	19,240	5,241	9,990
19,260	5,353	4,665	19,260	5,246	9,990
19,280	5,360	4,693	19,280	5,252	9,990
19,300	5,365	4,719	19,300	5,257	9,990
19,320	5,371	4,746	19,320	5,263	9,990
19,340	5,377	4,772	19,340	5,269	9,990
19,360	5,383	4,799	19,360	5,275	9,990
19,380	5,388	4,824	19,380	5,280	9,990
19,400	5,393	4,850	19,400	5,286	9,990
19,420	5,399	4,875	19,420	5,292	9,990
19,440	5,405	4,901	19,440	5,297	9,990
19,460	5,411	4,926	19,460	5,303	9,990
19,480	5,417	4,950	19,480	5,309	9,990
19,500	5,422	4,973	19,500	5,314	9,990
19,520	5,428	4,997	19,520	5,320	9,990
19,540	5,434	5,020	19,540	5,326	9,990
19,560	5,440	5,042	19,560	5,331	9,990
19,580	5,446	5,063	19,580	5,337	9,990
19,600	5,451	5,084	19,600	5,343	9,990
19,620	5,457	5,104	19,620	5,348	9,990
19,640	5,463	5,125	19,640	5,354	9,990
19,660	5,468	5,144	19,660	5,361	9,990
19,680	5,475	5,163	19,680	5,366	9,990
19,700	5,480	5,180	19,700	5,372	9,990
19,720	5,486	5,198	19,720	5,377	9,990
19,740	5,491	5,215	19,740	5,383	9,990
19,760	5,497	5,231	19,760	5,389	9,990
19,780	5,503	5,247	19,780	5,394	9,990
19,800	5,509	5,278	19,800	5,400	9,990
19,820	5,515	5,288	19,820	5,406	9,990
19,840	5,520	5,294	19,840	5,412	9,990
19,860	5,526	5,309	19,860	5,418	9,990
19,880	5,532	5,324	19,880	5,423	9,990
19,900	5,538	5,338	19,900	5,429	9,990
19,920	5,543	5,353	19,920	5,435	9,990
19,940	5,549	5,367	19,940	5,441	9,990
19,960	5,554	5,380	19,960	5,446	9,990
19,980	5,561	5,396	19,980	5,452	9,990
20,000	5,566	5,409	20,000	5,458	9,990
20,020	5,572	5,423	20,020	5,464	9,991
20,040	5,578	5,436	20,040	5,469	9,991
20,060	5,584	5,450	20,060	5,475	9,991
20,080	5,589	5,464	20,080	5,480	9,990
20,100	5,595	5,477	20,100	5,486	9,990
20,120	5,601	5,488	20,120	5,492	9,991
20,140	5,607	5,501	20,140	5,498	9,991
20,160	5,612	5,512	20,160	5,504	9,990
20,180	5,618	5,512	20,180	5,510	9,990
20,200	5,623	5,534	20,200	5,515	9,991
20,220	5,628	5,545	20,220	5,521	9,991
20,240	5,634	5,554	20,240	5,526	9,991
20,260	5,640	5,563	20,260	5,532	9,991
20,280	5,646	5,573	20,280	5,538	9,991
20,300	5,651	5,582	20,300	5,544	9,991
20,320	5,657	5,589	20,320	5,549	9,991
20,340	5,663	5,597	20,340	5,555	9,991
20,360	5,669	5,604	20,360	5,561	9,991
20,380	5,675	5,612	20,380	5,566	9,991
20,400	5,680	5,617	20,400	5,572	9,991
20,420	5,686	5,624	20,420	5,578	9,991
20,440	5,691	5,629	20,440	5,584	9,991
20,460	5,697	5,633	20,460	5,590	9,991
20,480	5,703	5,639	20,480	5,595	9,991
20,500	5,708	5,643	20,500	5,601	9,991
20,520	5,714	5,647	20,520	5,607	9,991
20,540	5,720	5,670	20,540	5,612	9,991
20,560	5,725	5,660	20,560	5,618	9,991
20,580	5,732	5,658	20,580	5,623	9,991
20,600	5,737	5,658	20,600	5,629	9,991
20,620	5,743	5,660	20,620	5,635	9,991
20,640	5,749	5,661	20,640	5,640	9,991
20,660	5,755	5,664	20,660	5,646	9,991
20,680	5,760	5,663	20,680	5,652	9,991
20,700	5,766	5,663	20,700	5,657	9,991
20,720	5,772	5,662	20,720	5,663	9,991
20,740	5,778	5,662	20,740	5,669	9,991
20,760	5,783	5,660	20,760	5,675	9,991
20,780	5,789	5,658	20,780	5,680	9,991
20,800	5,795	5,654	20,800	5,686	9,991
20,820	5,800	5,651	20,820	5,692	9,991
20,840	5,806	5,648	20,840	5,697	9,991
20,860	5,812	5,643	20,860	5,703	9,991
20,880	5,817	5,639	20,880	5,709	9,991
20,900	5,823	5,634	20,900	5,715	9,991
20,920	5,829	5,625	20,920	5,721	9,991
20,940	5,835	5,620	20,940	5,726	9,991
20,960	5,841	5,614	20,960	5,732	9,991
20,980	5,846	5,607	20,980	5,738	9,991
21,000	5,852	5,599	21,000	5,743	9,991
21,020	5,858	5,592	21,020	5,749	9,991
21,040	5,863	5,582	21,040	5,755	9,991
21,060	5,869	5,574	21,060	5,760	9,991
21,080	5,875	5,565	21,080	5,767	9,991
21,100	5,880	5,555	21,100	5,772	9,991
21,120	5,886	5,546	21,120	5,778	9,991
21,140	5,892	5,535	21,140	5,784	9,991
21,160	5,898	5,524	21,160	5,789	9,991
21,180	5,904	5,513	21,180	5,795	9,991
21,200	5,910	5,502	21,200	5,800	9,991
21,220	5,915	5,490	21,220	5,806	9,991
21,240	5,921	5,479	21,240	5,812	9,991
21,260	5,926	5,468	21,260	5,818	9,991
21,280	5,932	5,470	21,280	5,824	9,991
21,300	5,938	5,452	21,300	5,829	9,991
21,320	5,944	5,442	21,320	5,835	9,991
21,340	5,949	5,435	21,340	5,841	9,991
21,360	5,955	5,431	21,360	5,846	9,991
21,380	5,960	5,430	21,380	5,852	9,991
21,400	5,966	5,431	21,400	5,858	9,991
21,420	5,972	5,434	21,420	5,864	9,991
21,440	5,977	5,440	21,440	5,870	9,991
21,460	5,983	5,447	21,460	5,875	9,991
21,480	5,989	5,456	21,480	5,881	9,991
21,500	5,995	5,466	21,500	5,887	9,991
21,520	6,001	5,475	21,520	5,892	9,991
21,540	6,006	5,482	21,540	5,898	9,991
21,560	6,012	5,489	21,560	5,904	9,991
21,580	6,018	5,495	21,580	5,909	9,991
21,600	6,023	5,498	21,600	5,915	9,991
21,620	6,030	5,499	21,620	5,921	9,991
21,640	6,035	5,474	21,640	5,926	9,991
21,660	6,041	5,466	21,660	5,932	9,991
21,680	6,046	5,486	21,680	5,938	9,991
21,700	6,052	5,480	21,700	5,943	9,991
21,720	6,057	5,471	21,720	5,949	9,991
21,740	6,064	5,461	21,740	5,954	9,991
21,760	6,069	5,451	21,760	5,960	9,991
21,780	6,075	5,439	21,780	5,966	9,991
21,800	6,081	5,426	21,800	5,972	9,991
21,820	6,087	5,412	21,820	5,977	9,991
21,840	6,092	5,397	21,840	5,983	9,991
21,860	6,098	5,383	21,860	5,989	9,991
21,880	6,104	5,367	21,880	5,995	9,991
21,900	6,109	5,352	21,900	6,000	9,991
21,920	6,115	5,337	21,920	6,006	9,991
21,940	6,121	5,323	21,940	6,012	9,991
21,960	6,126	5,310	21,960	6,017	9,991
21,980	6,132	5,299	21,980	6,023	9,991
22,000	6,138	5,289	22,000	6,029	9,991
22,020	6,144	5,328	22,020	6,035	9,991
22,040	6,149	5,283	22,040	6,041	9,991
22,060	6,155	5,277	22,060	6,046	9,991
22,080	6,161	5,278	22,080	6,052	9,991
22,100	6,167	5,283	22,100	6,058	9,991
22,120	6,172	5,289	22,120	6,063	9,991
22,140	6,178	5,299	22,140	6,069	9,991
22,160	6,184	5,311	22,160	6,074	9,991
22,180	6,189	5,323	22,180	6,080	9,991
22,200	6,195	5,335	22,200	6,086	9,991
22,220	6,201	5,348	22,220	6,092	9,991
22,240	6,207	5,359	22,240	6,098	9,991
22,260	6,212	5,368	22,260	6,103	9,991
22,280	6,218	5,378	22,280	6,109	9,991
22,300	6,224	5,384	22,300	6,115	9,991
22,320	6,229	5,389	22,320	6,120	9,991
22,340	6,236	5,390	22,340	6,126	9,991
22,360	6,241	5,390	22,360	6,132	9,991
22,380	6,246	5,363	22,380	6,138	9,991
22,400	6,252	5,374	22,400	6,143	9,991
22,420	6,257	5,383	22,420	6,149	9,991
22,440	6,263	5,381	22,440	6,154	9,991
22,460	6,269	5,377	22,460	6,160	9,991
22,480	6,275	5,374	22,480	6,166	9,991
22,500	6,280	5,370	22,500	6,172	9,991
22,520	6,286	5,367	22,520	6,177	9,991
22,540	6,291	5,363	22,540	6,183	9,991
22,560	6,297	5,361	22,560	6,189	9,991
22,580	6,303	5,361	22,580	6,195	9,991
22,600	6,309	5,360	22,600	6,200	9,991
22,620	6,314	5,360	22,620	6,206	9,991
22,640	6,320	5,361	22,640	6,212	9,991
22,660	6,326	5,364	22,660	6,217	9,991
22,680	6,331	5,368	22,680	6,223	9,991
22,700	6,337	5,372	22,700	6,229	9,991
22,720	6,343	5,379	22,720	6,235	9,991
22,740	6,349	5,386	22,740	6,241	9,991
22,760	6,355	5,394	22,760	6,245	9,991
22,780	6,360	5,403	22,780	6,251	9,991
22,800	6,365	5,414	22,800	6,257	9,991
22,820	6,372	5,426	22,820	6,262	9,991
22,840	6,377	5,438	22,840	6,268	9,991
22,860	6,383	5,450	22,860	6,274	9,991
22,880	6,389	5,462	22,880	6,279	9,991
22,900	6,395	5,475	22,900	6,285	9,991
22,920	6,400	5,488	22,920	6,290	9,991
22,940	6,406	5,500	22,940	6,297	9,991
22,960	6,412	5,512	22,960	6,302	9,991
22,980	6,418	5,524	22,980	6,308	9,991
23,000	6,423	5,534	23,000	6,314	9,991
23,020	6,429	5,544	23,020	6,319	9,991
23,040	6,434	5,556	23,040	6,325	9,991
23,060	6,440	5,565	23,060	6,331	9,991
23,080	6,446	5,575	23,080	6,336	9,991
23,100	6,452	5,586	23,100	6,342	9,991
23,120	6,458	5,615	23,120	6,348	9,991
23,140	6,463	5,612	23,140	6,354	9,991
23,160	6,469	5,618	23,160	6,359	9,991
23,180	6,475	5,629	23,180	6,365	9,991
23,200	6,480	5,641	23,200	6,371	9,991
23,220	6,486	5,653	23,220	6,377	9,991
23,240	6,491	5,667	23,240	6,382	9,991
23,260	6,497	5,682	23,260	6,388	9,991
23,280	6,503	5,698	23,280	6,394	9,991
23,300	6,509	5,715	23,300	6,400	9,991
23,320	6,515	5,732	23,320	6,405	9,991
23,340	6,520	5,750	23,340	6,410	9,991
23,360	6,526	5,768	23,360	6,416	9,991
23,380	6,532	5,788	23,380	6,423	9,991
23,400	6,537	5,807	23,400	6,428	9,991
23,420	6,543	5,826	23,420	6,434	9,991
23,440	6,549	5,847	23,440	6,439	9,991
